counterparty_name,classification,notional_usd_summed,matched_pattern
CME Clearing,CCP,6587014645696,CME Clearing
Chicago Mercantile Exchange,CCP,5661125020230,Chicago Mercantile Exch
LONDON CLEARING HOUSE,CCP,5569817730373,LONDON CLEARING
Chicago Board of Trade,CCP,4805773989710,Chicago Board of Trade
London Clearing house,CCP,4722840689027,London Clearing
LCH.CLEARNET (US) LLC,CCP,2953148324372,LCH
CHICAGO BOARD OF TRADE,CCP,2925816565387,CHICAGO BOARD OF TRADE
CME Clearing House,CCP,2486106146891,CME Clearing
BNP PARIBAS,BILATERAL,2328870441780,
STATE STREET BANK AND TRUST COMPANY,BILATERAL,1870348214199,
"JPMorgan Chase Bank, National Association",BILATERAL,1829497247443,
"BANK OF AMERICA, N.A.",BILATERAL,1809720053106,
LCH,CCP,1790779550004,LCH
MORGAN STANLEY & CO LLC,BILATERAL,1705894775708,
UBS AG,BILATERAL,1530781799301,
Intercontinental Exchange,CCP,1442285348234,Intercontinental Exchange
INTERCONTINENTAL EXCHANGE,CCP,1397802026033,INTERCONTINENTAL EXCHANGE
THE TORONTON DOMINION BANK,BILATERAL,1367473605137,
"Citibank, National Association",BILATERAL,1243923429079,
LCH Clearnet,CCP,1242148893465,LCH
Goldman Sachs International,BILATERAL,1224624527876,
Goldman Sachs & Co. LLC,BILATERAL,1058540289969,
JPMorgan,BILATERAL,1039406063076,
BARCLAYS BANK PLC,BILATERAL,1017215737963,
LCH Limited,CCP,959159530470,LCH
MORGAN STANLEY CAPITAL SERVICES LLC,BILATERAL,929065505237,
Standard Chartered Bank,BILATERAL,847513955167,
DEUTSCHE BANK AG,BILATERAL,837745520121,
HSBC BANK PLC,BILATERAL,792122804850,
Citibank NA,BILATERAL,774822607952,
"Bank of America, National Association",BILATERAL,771811828455,
Goldman Sachs Bank USA,BILATERAL,739987695116,
Lch Clearnet (Us),CCP,736066449722,Lch
SOCIETE GENERALE,BILATERAL,727058578647,
"BOARD OF TRADE OF THE CITY OF CHICAGO, INC.",CCP,701882768189,BOARD OF TRADE OF THE CITY OF CHICAGO
Lch.Clearnet (Us),CCP,689244380229,Lch
HSBC UK BANK PLC,BILATERAL,650149997917,
MORGAN STANLEY & CO. INTERNATIONAL PLC,BILATERAL,640763698684,
"JPMORGAN CHASE BANK, N.A.",BILATERAL,631148741297,
Barclays Bank PLC,BILATERAL,609929459569,
ROYAL BANK OF CANADA,BILATERAL,548407453543,
Deutsche Bank Aktiengesellschaft,BILATERAL,520471297559,
CME Group Inc.,CCP,507937947634,CME Group
Citibank,BILATERAL,480614876527,
"BANK OF AMERICA, NATIONAL ASSOCIATION",BILATERAL,462045245652,
UK CLEARING HOUSE LIMITED,CCP,427304407549,CLEARING HOUSE
"BARCLAYS CAPITAL, INC.",BILATERAL,386580997451,
GOLDMAN SACHS & CO. LLC,BILATERAL,386059273416,
Morgan Stanley & Co. International PLC,BILATERAL,360368816308,
THE BANK OF NEW YORK MELLON,BILATERAL,352471673428,
"BOFA SECURITIES, INC.",BILATERAL,316386448722,
WELLS FARGO BANK NA,BILATERAL,315837745204,
Deutsche Bank AG,BILATERAL,279876563652,
Eurex Deutschland,BILATERAL,273702007296,
CITIGROUP GLOBAL MARKETS INC.,BILATERAL,273390706352,
State Street Bank and Trust Company,BILATERAL,248064488492,
ICE Clear US,CCP,245374807966,ICE Clear
Citi,BILATERAL,242095891170,
COMMONWEALTH BANK OF AUSTRALIA,BILATERAL,223336625033,
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",BILATERAL,216476771967,
CANADIAN IMPERIAL BANK OF COMMERCE,BILATERAL,202089200914,
ASX Clear (Futures),CCP,192077888241,ASX Clear
Morgan Stanley Capital Services LLC,BILATERAL,185700806648,
BANK OF AMERICA CORPORATION,BILATERAL,180288267461,
Citibank National Association,BILATERAL,180147949547,
HSBC SECURITIES (USA) INC.,BILATERAL,179562672362,
JPMORGAN CHASE & CO.,BILATERAL,178934837782,
Societe Generale,BILATERAL,176505536844,
ICE Clear Europe,CCP,173999745314,ICE Clear
DEUTSCHE BANK AKTIENGESELLSCHAFT,BILATERAL,166983486285,
ICE FUTURES US,BILATERAL,160706989726,
Eurex Clearing,CCP,157734646969,Eurex Clearing
JPMorgan Chase Bank NA,BILATERAL,156978788078,
Natwest Markets PLC,BILATERAL,148187571660,
ICE Futures Europe Financials,BILATERAL,146043681140,
"ICE Futures U.S., Inc.",BILATERAL,142567312724,
"HSBC BANK USA, N.A.",BILATERAL,141664413728,
JPMORGAN CHASE BANK NA,BILATERAL,140700642066,
"Wells Fargo Bank, National Association",BILATERAL,136357303683,
STANDARD CHARTERED BANK,BILATERAL,135067214062,
Citibank N.A.,BILATERAL,134416419742,
Royal Bank of Canada,BILATERAL,130934749542,
London Metal Exchange,BILATERAL,130096051621,
CITIBANK NA,BILATERAL,125534068979,
MERRILL LYNCH INTERNATIONAL,BILATERAL,124613450096,
BNP PARIBAS SA,BILATERAL,119570646242,
JPMorgan Chase Bank N.A.,BILATERAL,117024663871,
Merrill Lynch International,BILATERAL,112646291828,
WELLS FARGO & COMPANY,BILATERAL,107642627373,
Credit Suisse International,BILATERAL,107358285235,
New York Mercantile Exchange,CCP,106567898639,New York Mercantile Exch
HSBC Bank USA NA,BILATERAL,100673691733,
HSBC Bank USA N.A.,BILATERAL,99135742200,
Osaka Exchange,BILATERAL,97527354240,
MORGAN STANLEY,BILATERAL,96202144797,
BNP Paribas,BILATERAL,92713103441,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,BILATERAL,91583346190,
Brown Brothers Harriman & Co.,BILATERAL,83160122659,
BNP PARIBAS SECURITIES CORP.,BILATERAL,78393254353,
Bank of America NA,BILATERAL,75674010292,
NOMURA GLOBAL FINANCIAL PRODUCTS INC,BILATERAL,72412067853,
CITIBANK N.A.,BILATERAL,68733205747,
LCH CLEARNET,CCP,65099721990,LCH
BANK OF MONTREAL,BILATERAL,63018254597,
Eurex,BILATERAL,62860302504,
BANCO SANTANDER S.A.,BILATERAL,59861501528,
CREDIT AGRICOLE CIB,BILATERAL,59683821289,
HSBC,BILATERAL,55337822004,
"J.P. MORGAN SECURITIES, LLC.",BILATERAL,53950536735,
"HSBC Bank USA, National Association",BILATERAL,53859293981,
Morgan Stanley & Co. International plc,BILATERAL,53210554172,
CREDIT SUISSE INTERNATIONAL,BILATERAL,52977287978,
ICE FUTURES EUROPE,BILATERAL,50841677520,
MORGAN STANLEY & CO. INTERNATIONAL,BILATERAL,50092210551,
UBS Securities LLC,BILATERAL,50002300318,
Morgan Stanley & Co. International,BILATERAL,49439547475,
Canadian Imperial Bank of Commerce,BILATERAL,48631674832,
CIBC WORLD MARKETS CORP.,BILATERAL,47361388854,
UBS SECURITIES LLC,BILATERAL,46604656520,
GOLDMAN SACHS BANK USA,BILATERAL,46452309244,
BARCLAYS CAPITAL INC.,BILATERAL,46288300546,
Japan Securities Clearing,CCP,44740210089,Japan Securities Clearing
GOLDMAN SACHS INTERNATIONAL,BILATERAL,44439012805,
"PNC Bank, N.A.",BILATERAL,41923362179,
HSBC Bank PLC and HSBC Bank USA National Association,BILATERAL,41338991278,
STATE STREET CORPORATION,BILATERAL,40372523252,
LCH CLEARNET (US) LLC,CCP,40320871187,LCH
MACQUARIE BANK LIMITED,BILATERAL,39086336147,
EUREX DEUTSCHLAND,BILATERAL,38970708831,
"GOLDMAN SACHS GROUP, INC",BILATERAL,38175692342,
CITIGROUP GLOBAL MARKETS LIMIT,BILATERAL,36872563842,
Canadian Derivatives Clearing,BILATERAL,36713492482,
Barclays Bank plc,BILATERAL,34579071848,
LME Clear,BILATERAL,31433775028,
"Banco Santander, S.A.",BILATERAL,30867915215,
NatWest Markets PLC,BILATERAL,30525596153,
J.P. MORGAN SECURITIES LLC.,BILATERAL,30356563575,
"GOLDMAN SACHS GROUP, INC.",BILATERAL,30185431304,
THE TORONTO-DOMINION BANK,BILATERAL,29971287265,
VALIDATION TEST BROKER,BILATERAL,28926260422,
"Merrill Lynch, Pierce, Fenner & Smith Inc.",BILATERAL,28692836498,
BARCLAYS CAPITAL INC. FIX INC,BILATERAL,25825606450,
JP MORGAN SECURITIESPLC,BILATERAL,24945448197,
"GOLDMAN,SACHS & CO.",BILATERAL,24358956604,
"Wells Fargo Trust Company, National Association",BILATERAL,24185338059,
JPMorgan Chase & Co.,BILATERAL,23687527191,
NOMURA GLOBAL FINANCIAL PRODUCTS INC.,BILATERAL,23223782833,
Macquarie Bank Ltd.,BILATERAL,23081136368,
NATWEST MARKETS PLC,BILATERAL,23080764045,
Credit Suisse,BILATERAL,22501080390,
BNP Paribas S.A.,BILATERAL,22030669534,
Westpac Banking Corp.,BILATERAL,20331640150,
CREDIT SUISSE SECURITIES (USA) LLC,BILATERAL,19957110079,
Wells Fargo Securities LLC,BILATERAL,19886352026,
UBS,BILATERAL,19525508340,
CLEAR STREET LLC,BILATERAL,19429424916,
Wells Fargo,BILATERAL,19311813197,
Bank of Montreal,BILATERAL,19052438089,
Credit Suisse Securities (USA) LLC,BILATERAL,18893767845,
HSBC BANK USA NA,BILATERAL,18333469906,
MACQUARIE CAPITAL (USA) INC.,BILATERAL,18262348146,
TMX,BILATERAL,18249258231,
CITIGROUP INC,BILATERAL,18028938811,
ADM INVESTOR SERVICES INC,BILATERAL,17942464225,
Australia and New Zealand Banking Group,BILATERAL,17935240550,
"RBC Capital Markets, LLC",BILATERAL,17752172792,
Societe Generale SA,BILATERAL,16828473893,
BNP Paribas Securities Corp.,BILATERAL,16822143733,
"BNP Paribas USA, Inc.",BILATERAL,16658418546,
Morgan Stanley,BILATERAL,16597843013,
NOMURA SECURITIES INTERNATIONAL INC.,BILATERAL,15978885270,
The Bank of New York Mellon,BILATERAL,15967296796,
Nomura International PLC,BILATERAL,15844011938,
HSBC Securities (USA) Inc.,BILATERAL,15610693324,
"MUFG Bank, Ltd.",BILATERAL,15389000000,
"ICE FUTURES U.S., INC.",BILATERAL,15244687419,
Merrill Lynch International Bank Ltd.,BILATERAL,15081109634,
TORONTO DOMINION SECURITIES,BILATERAL,15021176926,
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,BILATERAL,14971434683,
Singapore Exchange Derivatives Clearing Limited,BILATERAL,14644816369,
NATIONAL AUSTRALIA BANK LIMITED,BILATERAL,14381926341,
THE MONTREAL EXCHANGE / BOURSE DE MONTREAL,CCP,14369433992,MONTREAL EXCHANGE
"Morgan Stanley Bank, National Association",BILATERAL,14082931644,
Bank of New York,BILATERAL,13241111310,
MAREX CAPITAL MARKETS INC.,BILATERAL,13193119231,
UBS Asset Management Holding Ltd,BILATERAL,12866941642,
Westpac Banking Corporation,BILATERAL,12772695152,
UBS Switzerland AG,BILATERAL,12671612976,
NEW YORK MERCANTILE EXCHANGE,CCP,12474757928,NEW YORK MERCANTILE EXCH
Clear Street,BILATERAL,12280129169,
CITIGROUP GLOBAL MKTS,BILATERAL,12254263071,
BOFA SECURITIES INC.,BILATERAL,11780598954,
"Merrill Lynch & Co., Inc.",BILATERAL,11697538761,
Signature Bank,BILATERAL,11387164395,
UBS Financial Services Inc.,BILATERAL,11272703000,
DEUTSCHE BANK SECURITIES INC,BILATERAL,11231795237,
JP Morgan Securities PLC,BILATERAL,11100205082,
Bank of New York Mellon,BILATERAL,11075484322,
Australia & New Zealand Banking Group Ltd.,BILATERAL,11048603793,
JPMorgan Securities LLC,BILATERAL,10646758065,
Citibank International Limited,BILATERAL,10366618958,
Toronto Dominion Bank,BILATERAL,10225721724,
