registrant,notional_usd,cleared_pct,eligible_share,n_funds
PIMCO Funds,20186069020700,70.63,0.7779,91
BlackRock Funds V,2689649561273,72.15,0.7834,13
ProShares Trust,1774673857845,42.69,0.9999,70
Direxion Shares ETF Trust,1622119260301,0.13,1.0000,125
AQR Funds,1404444207203,52.32,0.7109,42
Western Asset Funds Inc,1307551361003,97.89,1.0000,7
AIM Investment Funds (Invesco Investment Funds),1125996305664,17.98,0.6443,22
"Principal Funds, Inc",1074296824756,100.00,0.9738,28
GOLDMAN SACHS TRUST,943718235796,64.57,0.8024,34
Advanced Series Trust,915255350227,88.01,1.0000,75
LORD ABBETT INVESTMENT TRUST,733482715315,90.55,0.9653,14
Brighthouse Funds Trust I,730920163073,57.26,0.7476,29
DFA INVESTMENT DIMENSIONS GROUP INC,671681435236,12.99,0.3138,63
JPMorgan Trust I,539910560785,81.53,0.8489,59
Columbia Funds Series Trust I,499743247343,0.04,0.7404,20
"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",498994627167,9.25,0.2986,8
iShares Trust,478303929385,20.94,0.2678,251
VANGUARD FIXED INCOME SECURITIES FUNDS,471340355960,0.00,0.7256,12
PIMCO Variable Insurance Trust,460736942929,69.57,0.7491,17
DoubleLine Funds Trust,408565318079,58.34,1.0000,9
JNL Series Trust,405794017760,66.20,0.8222,101
HARTFORD MUTUAL FUNDS INC/CT,383099348965,36.91,0.4236,25
AMERICAN FUNDS INSURANCE SERIES,368968010713,93.60,0.9400,20
Legg Mason Partners Institutional Trust,353820577849,97.00,1.0000,5
BlackRock Funds,353233318258,66.20,0.8778,35
Northern Lights Fund Trust IV,348594461864,98.67,1.0000,6
Columbia Funds Variable Series Trust II,323826226613,4.62,0.8179,29
"AB BOND FUND, INC.",323566749970,23.70,0.4050,11
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,313824645934,63.95,0.7778,70
VANGUARD INDEX FUNDS,311855020328,0.00,1.0000,12
Bridge Builder Trust,311180134957,13.34,0.9987,9
RUSSELL INVESTMENT CO,306249246657,57.55,0.7624,33
BERNSTEIN SANFORD C FUND INC,306228159450,48.83,0.6160,15
METROPOLITAN WEST FUNDS,303540677691,98.84,1.0000,13
Guggenheim Funds Trust,294175100825,26.21,0.7235,14
MORGAN STANLEY INSTITUTIONAL FUND INC,284263063731,2.56,0.0043,27
GMO TRUST,280593175080,62.82,0.7611,22
VANGUARD STAR FUNDS,273185307111,0.00,0.4817,6
"RBB Fund, Inc.",269344663332,44.05,1.0000,11
MUTUAL FUND SERIES TRUST,267362089050,64.17,1.0000,14
PACIFIC SELECT FUND,266925720868,61.76,0.7771,36
AMERICAN BEACON FUNDS,261762135614,40.55,0.5416,22
Dodge & Cox Funds,258323314179,35.69,0.4358,7
JANUS INVESTMENT FUND,251070282782,0.05,0.5521,20
Fidelity Rutland Square Trust II,238221354222,57.36,0.8348,17
Brighthouse Funds Trust II,231749641792,43.89,0.5555,11
Putnam Funds Trust,228919731748,30.30,0.9227,14
AIM Variable Insurance Funds (Invesco Variable Insurance Fun,227382509147,18.53,0.6059,18
JPMorgan Trust II,216793488602,98.12,0.9905,14
Fidelity Salem Street Trust,216290868247,55.54,0.7522,54
VANGUARD MALVERN FUNDS,214997495532,0.00,0.7899,13
John Hancock Funds II,210726522200,81.01,0.1010,18
TRANSAMERICA SERIES TRUST,206935639016,53.70,0.7422,28
EQ Advisors Trust,202653184427,73.15,0.7325,73
Fidelity Aberdeen Street Trust,185723508144,89.06,1.0000,45
"BlackRock Variable Series Funds, Inc.",183498750556,73.21,0.7782,9
Columbia Funds Series Trust II,177147234328,2.49,0.8845,19
SEI INSTITUTIONAL MANAGED TRUST,173873702458,93.11,0.7453,24
WisdomTree Trust,171304237497,15.31,0.1747,65
AB CORPORATE SHARES,157438933438,95.81,1.0000,7
SEI INSTITUTIONAL INVESTMENTS TRUST,156815796480,86.08,0.4875,26
VANGUARD CHESTER FUNDS,153885658586,0.00,0.9999,26
PIMCO Dynamic Income Fund,150919628339,63.06,0.6403,28
Columbia Funds Variable Insurance Trust,150568795295,0.01,0.8779,13
STATE STREET INSTITUTIONAL INVESTMENT TRUST,137218550293,12.20,0.1816,10
Goldman Sachs Trust,135889988636,81.80,0.9333,25
PIMCO ETF Trust,134971496578,82.66,0.8596,12
"HARTFORD MUTUAL FUNDS, INC",133410529871,28.58,0.3121,20
SUNAMERICA SERIES TRUST,128696869168,75.22,0.8470,32
AB PORTFOLIOS,124891671515,7.74,0.1586,5
World Funds Trust,122826880980,99.41,1.0000,5
VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,121794322676,0.00,0.4542,7
Putnam Premier Income Trust,115997774045,28.81,0.9735,28
LAZARD FUNDS INC,112679773159,0.02,0.0045,13
Cliffwater Corporate Lending Fund,112317413380,25.22,0.7031,26
Natixis Funds Trust II,109708438792,65.27,0.7934,6
John Hancock Investment Trust,109212380912,53.90,0.5891,8
AIM Counselor Series Trust (Invesco Counselor Series Trust),108048614413,19.84,0.4627,12
BlackRock ETF Trust II,102104003005,41.31,0.6067,10
LOOMIS SAYLES FUNDS II,101916239871,90.46,0.9046,5
LoCorr Investment Trust,98483233734,49.18,1.0000,6
TRANSAMERICA FUNDS,98279709916,17.18,0.1670,31
Fidelity Income Fund,95002353406,66.46,0.8389,7
Guidestone Funds,94984401912,70.70,1.0000,27
PIMCO Flexible Credit Income Fund,92659282893,65.72,0.6403,28
Nationwide Mutual Funds,92208447682,56.07,0.9700,21
Thrivent Mutual Funds,91889254937,99.80,1.0000,16
Putnam Variable Trust,91693980614,20.67,0.8556,18
PIMCO Corporate & Income Opportunity Fund,88545005143,69.64,0.7565,27
EATON VANCE MUTUAL FUNDS TRUST,87250296529,60.73,0.9822,9
iShares U.S. ETF Trust,86682887144,80.58,0.9594,16
GuideStone Funds,85877561570,20.74,1.0000,23
Nationwide Variable Insurance Trust,83538456816,72.37,0.9715,35
GraniteShares ETF Trust,82917161191,46.22,1.0000,38
Voya Funds Trust,81701227213,96.69,1.0000,5
ProFunds,80633623044,9.58,0.9925,100
"Thrivent Series Fund, Inc.",80230596696,99.72,0.9999,24
"Thrivent Series Funds, Inc.",79629149619,100.00,0.9996,19
Northern Lights Fund Trust,78735157532,51.88,1.0000,18
Fidelity Advisor Series II,78127772628,48.88,0.5598,5
TCW Metropolitan West Funds,77468948063,56.26,0.8674,8
Franklin Mutual Series Funds,76842315985,0.04,0.0004,7
"Partners Group Private Equity (Master Fund), LLC",75209096676,1.88,0.0000,25
J.P. Morgan Exchange-Traded Fund Trust,74986981701,82.97,0.8391,56
MFS VARIABLE INSURANCE TRUST II,74966436754,17.78,0.2112,9
THORNBURG INVESTMENT TRUST,74564924609,0.04,0.0004,10
PIMCO High Income Fund,71752338936,86.87,0.8939,27
AIM Investment Securities Funds (Invesco Investment Securiti,71162001666,41.70,0.9783,7
Simplify Exchange Traded Funds,70677170172,87.90,1.0000,20
Fidelity Concord Street Trust,68450040585,83.46,1.0000,21
MORGAN STANLEY INSTITUTIONAL FUND TRUST,67881881689,12.17,0.2155,7
ALLSPRING FUNDS TRUST,67565347109,74.75,0.7912,55
"EMPOWER FUNDS, INC.",66711012973,10.70,0.8934,21
SIX CIRCLES TRUST,65495518851,27.15,0.9992,10
Franklin Templeton Variable Insurance Products Trust,64587372011,5.21,0.0777,7
VANGUARD BOND INDEX FUNDS,64385417747,0.00,0.9809,7
GREAT-WEST FUNDS INC,61876997749,7.87,0.9294,21
Volatility Shares Trust,56366901169,100.00,1.0000,10
VANGUARD WORLD FUND,55763189740,0.00,0.7897,22
PACE SELECT ADVISORS TRUST,55244024875,42.97,0.6853,10
American Century Investment Trust,54636674611,0.00,0.9859,8
Capital Group Fixed Income ETF Trust,54475138865,98.36,0.9851,10
College Retirement Equities Fund,54413615378,85.95,0.8577,6
MFS SERIES TRUST X,54269802076,23.09,0.2482,6
"AllianceBernstein Global High Income Fund, Inc.",54130464919,6.34,0.0874,7
LOOMIS SAYLES FUNDS I,53262261138,93.31,0.9400,9
"THE LAZARD FUNDS, INC.",53109569150,0.18,0.0029,14
